Angle-of-attack-[°],Coefficient-of-lift-[-],Coefficient-of-drag-[-]
-180,0,0.083688
-178.571429,0.052787,0.084464
-177.142857,0.105574,0.08679
-175.714286,0.158361,0.090659
-174.285714,0.211148,0.096061
-172.857143,0.263935,0.102984
-171.428571,0.316722,0.111409
-170,0.369509,0.121315
-168.571429,0.422296,0.132677
-167.142857,0.475083,0.145465
-165.714286,0.52787,0.159648
-164.285714,0.580657,0.175188
-162.857143,0.633444,0.192046
-161.428571,0.686231,0.21018
-160,0.739018,0.229543
-155,0.683728,0.30625
-150,0.65176,0.394976
-145,0.627633,0.492951
-140,0.603339,0.597106
-135,0.574419,0.704177
-130,0.5384,0.810797
-125,0.494087,0.913605
-120,0.441192,1.009344
-115,0.380126,1.094966
-110,0.311858,1.167722
-105,0.237805,1.225247
-100,0.159745,1.265634
-95,0.079728,1.287495
-90,0,1.29
-85,-0.079728,1.287495
-80,-0.159745,1.265634
-75,-0.237805,1.225247
-70,-0.311858,1.167722
-65,-0.380126,1.094966
-60,-0.441192,1.009344
-55,-0.494087,0.913605
-50,-0.5384,0.810797
-45,-0.574419,0.704177
-40,-0.603339,0.597106
-35,-0.627633,0.492951
-30,-0.65176,0.394976
-25,-0.683728,0.30625
-20,-0.739018,0.229543
-18.571429,-0.652076,0.215898
-17.142857,-0.565133,0.202252
-15.714286,-0.478191,0.188607
-14.285714,-0.391248,0.174962
-12.857143,-0.304306,0.161316
-11.428571,-0.217364,0.147671
-10,-0.130421,0.134026
-8.571429,-0.043479,0.120381
-7.142857,0.043464,0.106735
-5.714286,0.130406,0.09309
-4.285714,0.217349,0.079445
-2.857143,0.304291,0.0658
0,0.478176,0.038509
2,0.665763,0.041474
4,0.833388,0.046335
6,0.98131,0.05336
8,1.090819,0.063524
10,1.17574,0.077372
12,1.204616,0.09645
14,1.202148,0.119137
16,1.174065,0.149089
18,1.130884,0.183714
20,1.05574,0.229543
25,0.976755,0.30625
30,0.931086,0.394976
35,0.896619,0.492951
40,0.861913,0.597106
45,0.820598,0.704177
50,0.769143,0.810797
55,0.705838,0.913605
60,0.630274,1.009344
65,0.543038,1.094966
70,0.445512,1.167722
75,0.339722,1.225247
80,0.228207,1.265634
85,0.113897,1.287495
90,0,1.29
95,-0.079728,1.287495
100,-0.159745,1.265634
105,-0.237805,1.225247
110,-0.311858,1.167722
115,-0.380126,1.094966
120,-0.441192,1.009344
125,-0.494087,0.913605
130,-0.5384,0.810797
135,-0.574419,0.704177
140,-0.603339,0.597106
145,-0.627633,0.492951
150,-0.65176,0.394976
155,-0.683728,0.30625
160,-0.739018,0.229543
161.428571,-0.686231,0.21018
162.857143,-0.633444,0.192046
164.285714,-0.580657,0.175188
165.714286,-0.52787,0.159648
167.142857,-0.475083,0.145465
168.571429,-0.422296,0.132677
170,-0.369509,0.121315
171.428571,-0.316722,0.111409
172.857143,-0.263935,0.102984
174.285714,-0.211148,0.096061
175.714286,-0.158361,0.090659
177.142857,-0.105574,0.08679
178.571429,-0.052787,0.084464
180,0,0.083688
